FoodName,Spiselig del %,Vann,Kilojoule kJ,Kilokalorier kcal,Fett,Mettet,C12:0 g,C14:0,C16:0,C18:0,Trans,Enumettet,C16:1 sum,C18:1 sum,Flerumettet,C18:2n-6,C18:3n-3,C20:3n-3,C20:3n-6,C20:4n-3,C20:4n-6,C20:5n-3 (EPA),C22:5n-3 (DPA),C22:6n-3 (DHA),Omega-3,Omega-6,Kolesterol mg,Karbohydrat,Stivelse,Mono+disakk,"Sukker, tilsatt",Kostfiber,Protein,Salt,Alkohol,Vitamin A RAE,Retinol µg,Beta-karoten µg,Vitamin D µg,Vitamin E alfa-TE,Tiamin mg,Riboflavin mg,Niacin mg,Vitamin B6 mg,Folat µg,Vitamin B12 µg,Vitamin C mg,Kalsium mg,Jern mg,Natrium mg,Kalium mg,Magnesium mg,Sink mg,Selen µg,Kopper mg,Fosfor mg,Jod µg
"Iskrem, fløtebasert",100,64,812,194,10,6.2,0.3,0.92,2.77,1.06,0.4,2.7,0.15,2.29,0.2,0.26,0.04,0,0.01,0,0.02,0.01,0.01,0.02,0.08,0.31,33,23,0,23,13,0,3,0.1,0,122,117,60,0.1,0.2,0.05,0.18,0.1,0.1,2,0.5,0,121,0,44,213,14,0.5,0,0.01,117,8
"Iskrem, lettis, med mindre sukker og fett",100,71,588,140,5,2.5,0.08,0.25,1.28,0.48,0,1.8,0.11,1.68,0.5,0.37,0.02,0,0,0,0.05,0,0,0.05,0.07,0.42,12,19.8,13,6.8,2,0,3.8,0.1,0,16,15,13,0,1.2,0.06,0.2,0.1,0.1,2,0.6,0,134,0.1,50,205,14,0.5,0,0.02,125,8
"Iskrem, med kjeks, Krone-is med jordbær",100,54,1027,245,12.4,7.9,1.17,1.17,3.01,1.31,0.2,3,0.18,2.74,0.5,0.4,0.04,0,0,0,0,0,0,0,0.04,0.32,20,30.3,8.2,22,18,1,2.9,0.3,0,65,61,41,0,0.5,0.02,0.14,0.2,0.03,3,0.3,1,61,0.3,107,132,12,0.4,2,0.05,98,9
"Iskrem, med kjeks, Krone-is med sjokolade",100,45,1254,300,16,12,1.53,1.34,3.46,1.57,0.2,2.4,0.13,3.75,0.5,1.33,0.15,0,0.01,0,0.01,0,0.01,0,0.17,1.39,22,35,0.2,34.8,22,1,3.5,0.2,0,56,53,37,0,0.6,0.05,0.12,0.1,0.07,9,0.4,0,89,0.4,67,190,19,0.5,1,0.09,100,8
"Iskrem, med kjeks, Lion King Size",100,41,1362,326,18,14,0.37,1.15,5.55,3.75,0.2,4.1,0.17,5.16,0.6,0.57,0.06,0,0.01,0,0.01,0.01,0.01,0,0.08,0.59,29,36,0.2,35.8,19,1,4.5,0.2,0,71,65,75,0,0.5,0.07,0.15,0.2,0.6,12,0.6,0,120,0.7,75,240,29,0.6,1,0.1,130,8
"Iskrem, med kjeks, sjokolade, nøtter",100,49,1103,263,12.9,6.9,0.24,0.73,3.1,1.84,0.3,4.2,0.13,3.89,0.5,0.54,0.04,0,0.01,0.01,0.02,0.01,0.01,0.02,0.07,0.58,26,32.6,5.6,27,18.1,1,3.8,0.2,0,93,89,48,0.1,0.9,0.06,0.16,0.3,0.09,6,0.4,0,104,0.6,79,227,27,0.6,0,0.14,121,6
"Iskrem, med kjeks, syltetøy, sjokolade",100,55,952,227,9.4,5.5,0.23,0.71,2.52,1.14,0.3,2.8,0.12,2.44,0.3,0.37,0.04,0,0.01,0,0.02,0,0.01,0.02,0.07,0.4,25,32.2,5.5,26.7,18.7,1,3.1,0.2,0,92,89,46,0.1,0.4,0.05,0.14,0.2,0.09,4,0.4,1,96,0.2,78,189,15,0.5,0,0.04,101,6
"Iskrem, pinneis, Royal Mørk",100,50,1241,298,20,12,0.11,0.42,5.12,5.74,0.2,5.6,0.09,5.54,0.6,0.64,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.13,0.64,29,26,0.2,25.8,19,1,3,0.2,0,84,74,118,0,0.5,0.07,0.15,0.2,0.9,8,0.5,0,110,0.7,64,220,32,0.6,1,0.2,120,8
"Iskrem, yoghurtis",100,64,729,173,5.6,3.4,0.12,0.39,1.46,0.56,0.1,1.6,0.1,1.6,0.2,0.29,0.02,0,0,0,0.03,0,0,0.04,0.06,0.33,2,26.6,2.6,24,17,0,4.1,0.2,0,59,58,11,0,0.1,0.04,0.22,0.3,0.08,6,0.3,0,143,0.3,87,211,14,0.4,0,0.04,129,8
"Kakekrem, romsmak, Piano",100,73,636,152,8.9,5.6,0.27,0.89,2.52,0.93,0.3,2.1,0.2,1.82,0.2,0.12,0.04,0,0,0,0,0,0,0,0.04,0.04,22,15,3.8,11.2,7.5,0,3,0.1,0,118,118,5,0,0.2,0.04,0.13,0.1,0.03,4,0.4,0,105,0.1,40,145,10,0.4,2,0.02,91,13
"Karamellpudding, hjemmelaget",100,66,854,205,13.6,7.4,0.31,1.04,3.58,1.32,0.3,3.7,0.31,3.25,0.9,0.65,0.06,0,0.01,0,0.06,0,0,0.03,0.09,0.63,123,14.8,0,14.8,11.8,0,6,0.2,0,128,124,53,0.8,1.6,0.02,0.21,0,0.03,11,0.7,0,80,0.6,71,126,9,0.6,7,0.03,138,21
"Karamellpudding, Piano",100,75,541,129,5.8,3.7,0.17,0.58,1.64,0.6,0.2,1.4,0.13,1.18,0.1,0.08,0.02,0,0,0,0,0,0,0,0.02,0.02,14,16,2,14,10.1,0,3,0.2,0,75,74,9,0,0.1,0.04,0.13,0.1,0.03,3,0.4,0,109,0.1,60,146,11,0.4,2,0.02,95,14
Karamellsaus,100,30,1190,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Melisglasur,100,15,1454,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,0,85.5,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0.01,0,0
Multekrem,100,63,1099,266,23.9,14.9,0.71,2.35,6.68,2.45,0.7,5.7,0.54,4.82,0.7,0.42,0.17,0,0,0,0,0,0,0,0.17,0.19,58,10.2,0,10.2,7,2,1.7,0,0,227,212,179,0,0.9,0.01,0.13,0.1,0.02,14,0.3,28,5,0.1,19,64,9,0.2,1,0.02,69,6
Panna cotta,100,48,1491,360,30.5,19.3,0.92,3.05,8.63,3.17,0.9,7.3,0.7,6.23,0.7,0.43,0.12,0,0,0,0,0,0,0,0.12,0.12,75,18.8,0,18.8,16.4,0,2.5,0.1,0,290,275,179,0,0,0,0.16,0,0,0,0.3,0,1,0,27,0,0,0,2,0.02,75,8
